track_name,artist_name,year,energy,danceability,popularity
"Aaranadyam Kandathennu (From ""Love Land"")","Vijay Yesudas, Rimi Tomy",2015,0.000184,0.0,0
"Thanks, Mom (Not Used in Film)",Blake Neely,2015,0.00673,0.329,0
Just the Way You Are (Arr. for Piano),"Billy Joel, Yann Nyman",2019,0.0125,0.37,0
New Recruit,Daniel Pemberton,2017,0.0178,0.195,0
The Court Of Public Opinion,Daniel Pemberton,2017,0.00231,0.262,0
Just the Way You Are (Arr. for Piano),"Billy Joel, Yann Nyman",2019,0.0125,0.37,0
Yeh Zindagi Ek Raaz Hai,Javed Ali,2019,0.0184,0.237,0
Just the Way You Are (Arr. for Piano),"Billy Joel, Yann Nyman",2019,0.0125,0.37,0
Learn A Lesson,Daniel Pemberton,2017,0.019,0.182,0
"Aaranadyam Kandathennu (From ""Love Land"")","Vijay Yesudas, Rimi Tomy",2016,0.000184,0.0,0
Hoover's Funeral,Daniel Pemberton,2017,0.00646,0.209,0
